name,address,phone_number,website,description
Dr Daniel Zimmerman,"883 Jane St, York, ON M6N 4C4",416-767-6591,,"Dr Daniel Zimmerman is your oral health expert in York, offering dental services."
Staibano Philip Dr,"2221 Keele St, North York, ON M6M 3Z5",416-247-9257,http://www.facebook.com/1150940648273911,Dentist serving the North York area.
Doctor Mincer Samuel,"1916 Avenue Road, North York, ON M5M 4A1",416-256-0907,http://www.facebook.com/392864124487459,Avenue Dental provides dental services in North York.
Dr Bruce Stanley,"203-2179 Yonge St, Toronto, ON M4S 2B1",416-488-6633,,Yonge Street Dental offers dental care in Toronto.
Cadas Chris P Dr,"33 Harbour Square, Toronto, ON M5J 2G2",416-862-0140,https://www.facebook.com/328825317598015,Great dentist and clinic with fair pricing and advanced ultrasonic scaler technology.
High Park Dental Care,"2184A Bloor St W, Toronto, ON M6S 1N3",416-766-6383,http://www.highparkdentalcare.com/,Dental clinic providing comprehensive dental services in Toronto.
Dr Ester Canton Dentistry,"128-55 St Clair Ave W, Toronto, ON M4V 2Y7",647-352-2010,,Dr. Canton did amazing work helping patients smile with confidence.
Dr. M. L. Bygrave,"2380 Eglinton W, York, ON M6M 1S6",416-651-5466,http://drmlbygrave.com/,"Family dentistry offering orthodontist, general dentist, and oral & maxillofacial surgery services."
Yonge and Bloor Dental Care - Dr. Hamed Dadjou and Associates,"2 Bloor St W #1904, Toronto, ON M4W 3E2",416-434-4571,https://yongeandbloordentalcare.com/,Highly rated dentist with over 20 years of experience located in downtown Toronto.
Eglinton West Dental,"1114 Eglinton Ave W, Toronto, ON M6C 2E2",647-484-2557,http://eglintonwestdental.ca/,Specializing in preventive and restorative dentistry with Dr. Jeff Solomon.
Yonge Eglinton Periodontics - Dr. Andrew Kay,"2300 Yonge Street, Toronto, ON M4P 1E4",416-481-1179,http://www.drandrewkay.com/,Offers periodontics and implant surgery including bone grafts and dental implants.
Emergency-Dental-365.com,"300 York Mills Road, Toronto, ON M2L 2Y5",647-693-8312,https://emergency-dental-365.com/,Trusted choice for urgent dental care available 7 days a week from 6:00 a.m. to 10:00 p.m.
Royal Bank Plaza Dental Centre,"200 Bay St, Toronto, ON M5J 2J3",647-547-2061,https://royaldentalcentre.com/,Keeping your smile happy and healthy with a range of dental services in downtown Toronto.
Dentistry on Dufferin,"2992 Dufferin St, North York, ON M6B 3T3",647-849-3146,http://dentistryondufferin.ca/,"Complete family dental care with quality, comprehensive services in a relaxed modern facility."
Apple Tree Dental for Kids,"895 Lawrence Ave E, North York, ON M3C 3L2",647-495-7863,http://www.appletreedentalforkids.com/,Pediatric dental office serving children ages 1 to 17 in North York.
Dr Dong Li DPC,"1000 Bridlewood Dr, Toronto, ON",613-342-1851,,Dentist serving the Toronto area.
Solomon Jeff Dr,"1114 Eglinton Ave W, Toronto, ON M6C 2E2",416-782-1711,http://eglintonwestdental.ca/,General and cosmetic dentistry specializing in preventive and restorative care with a friendly atmosphere.
Dr Steven & Dr Jonathan Stern Dentistry,"2-49 Eglinton Ave E, Toronto, ON M4P 1G6",416-487-5969,http://drstern.ca/,Don't let your anxiety about going to the dentist keep you from getting the care you need!
Vernon Koo,"1920 Yonge St, Toronto, ON M4S 3E2",647-498-0073,http://www.yongedavisvilledentistry.com/,"Comprehensive General Practice - New Patients & Emergencies Welcome - Cosmetic Dentistry, Family Dentistry."
Dagys Arlene P Dr,"340 Kingston Road, Toronto, ON M4L 1T7",416-690-8525,https://www.facebook.com/1701420380146028,Dagys Arlene P Dr is a Toronto-based dentist offering general oral health check-ups and dental emergency care.
Dr Marta Prystayko,"305-2425 Bloor St W, Toronto, ON M6S 4W4",647-484-2943,http://www.facebook.com/1186411154705330,Practicing family dentistry in the Bloor West community for over 30 years.
Scarlett Road Dentistry,"263 Scarlett Rd, York, ON M6N 4L1",416-763-3773,http://www.scarlettroaddentistry.com/,Dr Lorne Levy provides dental services.
